n,const_f,sum_f,prod_f,direct_poly,horners_poly,sort.bubblesort.sort,sort.quicksort.sort,sort.timsort.sort,matrix_mult
1,3.6249999998960725e-07,1.0625000000014095e-05,9.862500000012986e-06,1.5714285714420382e-06,2.1499999999924357e-06,7.750000000222856e-07,7.714285714031734e-07,2.028571428598041e-06,2.3750000000127836e-06
2,3.1249999998816946e-07,1.0762499999997233e-05,9.971428571445681e-06,1.8142857142982344e-06,1.9999999999881224e-06,1.2125000000001718e-06,3.987499999982824e-06,2.650000000034569e-06,3.1375000000000153e-06
3,3.1250000001592504e-07,1.0971428571442715e-05,1.0080000000023404e-05,1.937499999993264e-06,2.185714285721626e-06,1.787500000030584e-06,5.074999999951646e-06,4.999999999991123e-06,4.014285714282195e-06
4,3.000000000006965e-07,1.1085714285699996e-05,1.0599999999985621e-05,2.1400000000282306e-06,2.328571428582877e-06,2.48333333333998e-06,6.887499999996827e-06,5.887500000009704e-06,3.242857142847301e-06
5,3.1250000000204725e-07,1.0900000000008125e-05,1.0799999999977494e-05,2.3500000000259424e-06,2.687500000014831e-06,3.1124999999854186e-06,8.587500000017956e-06,7.587499999975322e-06,3.62000000002638e-06
6,3.166666667220319e-07,1.3612500000009797e-05,1.4237500000013892e-05,2.574999999990779e-06,4.037499999984262e-06,6.700000000012252e-06,1.5900000000013126e-05,8.075000000010157e-06,3.2625000000036097e-06
7,3.1428571427889143e-07,1.0737500000010392e-05,1.0237499999996014e-05,2.525000000003219e-06,2.5749999999769013e-06,4.487499999983324e-06,1.0350000000006188e-05,9.375000000005906e-06,3.3500000000130647e-06
8,3.0000000006413785e-07,1.1287499999970696e-05,1.0425000000008344e-05,2.599999999991498e-06,2.7800000000244298e-06,5.550000000020816e-06,1.2125000000015596e-05,8.637499999991638e-06,3.3500000000130647e-06
9,3.1250000000204725e-07,1.0962500000002984e-05,1.0414285714323488e-05,2.8500000000264425e-06,2.7875000000038286e-06,6.637500000017393e-06,1.3125000000016596e-05,9.987500000002703e-06,3.366666666670959e-06
10,3.1999999996479287e-07,1.2412500000003046e-05,1.0862500000027864e-05,3.057142857151466e-06,3.0375000000110175e-06,8.012499999987543e-06,1.4637500000011516e-05,1.1125000000000718e-05,3.528571428569803e-06
11,3.1666666666652077e-07,1.1712499999996795e-05,1.1557142857150054e-05,3.275000000010908e-06,3.4000000000145025e-06,9.599999999998499e-06,1.788749999999395e-05,1.1949999999996685e-05,3.624999999993217e-06
12,3.166666667035282e-07,1.15125000000188e-05,1.0749999999985308e-05,3.3000000000023752e-06,3.771428571410139e-06,1.1175000000002155e-05,2.1012500000000545e-05,1.2324999999993591e-05,3.8624999999931076e-06
13,3.6666666667721043e-07,1.207500000000028e-05,1.126250000001161e-05,3.371428571414497e-06,3.4000000000006247e-06,1.2487500000005203e-05,1.853750000001264e-05,1.3712500000012673e-05,4.349999999986309e-06
14,4.142857143055575e-07,1.1514285714252028e-05,1.0599999999999499e-05,3.457142857131247e-06,3.575000000005657e-06,1.4737500000000514e-05,3.074999999999606e-05,1.4275000000021909e-05,4.439999999994448e-06
15,3.285714286205277e-07,1.184999999999381e-05,1.0837500000013267e-05,3.5833333333716113e-06,3.737500000003391e-06,1.636250000000561e-05,2.2487499999987448e-05,1.5699999999993497e-05,4.562500000040992e-06
16,3.200000000314063e-07,1.1357142857144303e-05,1.0457142857142213e-05,3.624999999993217e-06,4.02857142856039e-06,1.7887499999952317e-05,2.3437500000014766e-05,1.5814285714288445e-05,4.287500000005329e-06
17,3.2000000005361073e-07,1.146250000003124e-05,1.0812499999984793e-05,3.862500000006985e-06,3.875000000014284e-06,2.0112499999988542e-05,2.6312499999986416e-05,1.682500000001197e-05,5.212499999990294e-06
18,3.8749999999032614e-07,1.1649999999974181e-05,1.1225000000003593e-05,4.050000000005438e-06,4.016666666680398e-06,2.3487500000002326e-05,2.5037499999991386e-05,1.8362499999979853e-05,4.649999999994936e-06
19,3.250000000093456e-07,1.2471428571398618e-05,1.1524999999998342e-05,4.2000000000097515e-06,4.324999999971713e-06,2.5937499999975633e-05,2.7412499999990292e-05,2.0249999999999435e-05,5.975000000005282e-06
20,3.1249999998816946e-07,1.1875000000008407e-05,1.0837500000027145e-05,4.300000000040383e-06,4.459999999983921e-06,2.7787500000014953e-05,2.7537500000021642e-05,2.0199999999978173e-05,4.299999999998749e-06
21,3.666666666587067e-07,1.1499999999997623e-05,1.0787500000025707e-05,4.483333333323476e-06,4.59999999997962e-06,3.141250000000817e-05,3.121249999997466e-05,2.176250000003599e-05,5.199999999990926e-06
