method,approx_func,loss,init_params,params,iterations,try_num,true_init
nelder_mead,rational,139708.75812004448,"[2.815769720080599, -2.021267391315999, 0.2889378989363296, 3.7435042265867704]","[-1.2735730498221827, 1.272611789649346, -2.00208296434354, 1.002083131643006]",1000,0,False
lm,rational,267489.69358916295,"[2.815769720080599, -2.021267391315999, 0.2889378989363296, 3.7435042265867704]","[-546.1149085645459, 289.285263956519, 534.2834468118009, 191.0445009062599]",6,0,False
diff_ev,rational,134881.03156868645,"[2.815769720080599, -2.021267391315999, 0.2889378989363296, 3.7435042265867704]","[-2.0143348121932183, -0.34952490319563645, 0.3569530899836137, -1.357631106655801]",64,0,False
part_swarm,rational,190609.09307661618,"[2.815769720080599, -2.021267391315999, 0.2889378989363296, 3.7435042265867704]","[-2.0975174435300206, 2.0949826562954756, -1.9932382073392807, 0.9934526116273922]",1000,0,False
nelder_mead,rational,227237.9017969388,"[0.034056068914099846, -1.6546317543517866, -2.6396301727695093, 2.977032337403055]","[0.03528299719643267, -0.07229037300670804, -3.9805612570042497, 3.9612153401881534]",790,1,False
lm,rational,262394.98368586256,"[0.034056068914099846, -1.6546317543517866, -2.6396301727695093, 2.977032337403055]","[0.46454498958804563, -1.3034485469388015, -3.2400529292612497, 2.714400935291523]",9,1,False
diff_ev,rational,266346.3060463687,"[0.034056068914099846, -1.6546317543517866, -2.6396301727695093, 2.977032337403055]","[-3.1489565186336463, 1.7386362693589232, -2.0726976503645083, 1.494723090458244]",64,1,False
part_swarm,rational,240152.61254647534,"[0.034056068914099846, -1.6546317543517866, -2.6396301727695093, 2.977032337403055]","[0.7338582656111003, -1.4797100152594056, -3.9294612374370153, 3.861328904669439]",1000,1,False
nelder_mead,rational,267847.296862826,"[2.088933656501916, -2.7496325254362883, -0.9922709025257603, -1.3766455798227506]","[-0.464257813185294, 0.8345489826572534, -0.6631084916974599, -2.037649940609646]",358,2,False
lm,rational,276857.5314416294,"[2.088933656501916, -2.7496325254362883, -0.9922709025257603, -1.3766455798227506]","[-0.7137193383254764, 1.2659915348875743, 0.05660415461644633, -3.2330895461901004]",30,2,False
diff_ev,rational,266983.8701404624,"[2.088933656501916, -2.7496325254362883, -0.9922709025257603, -1.3766455798227506]","[0.20893345939041819, -1.5819568021176011, -2.7668486294199717, 3.24280513564851]",72,2,False
part_swarm,rational,225677.11813771632,"[2.088933656501916, -2.7496325254362883, -0.9922709025257603, -1.3766455798227506]","[-1.0022177916583255, 0.9889896419096769, -2.036803567814807, 1.0378066545529374]",1000,2,False
nelder_mead,rational,140006.99372758248,"[1.990334676057631, -0.8718264035318466, -2.369620060673876, 3.533893014993267]","[0.6938540162214358, -1.1462839235557762, -3.6631235644697964, 3.326396978657935]",445,3,False
lm,rational,267757.92220240313,"[1.990334676057631, -0.8718264035318466, -2.369620060673876, 3.533893014993267]","[1.6967512420158481, -17.53155900346751, -6.994455422715972, 55.020447915984406]",5,3,False
diff_ev,rational,267108.0670590414,"[1.990334676057631, -0.8718264035318466, -2.369620060673876, 3.533893014993267]","[-3.073446555153031, 2.9923508394524427, -1.6484415493131417, 2.5213132997516494]",50,3,False
part_swarm,rational,253353.81058504977,"[1.990334676057631, -0.8718264035318466, -2.369620060673876, 3.533893014993267]","[-0.2570966982506362, 0.21213949383080255, -2.120125035556685, 1.1263289892119976]",1000,3,False
nelder_mead,rational,184929.5240512307,"[-0.12534711242473673, 2.238979024031452, 2.7555897165903582, 0.1473354415700152]","[-0.23716572505253541, 0.03454156807481437, -1.303195577810659, 0.3038913818904486]",544,4,False
lm,rational,267402.38681942184,"[-0.12534711242473673, 2.238979024031452, 2.7555897165903582, 0.1473354415700152]","[-16.033017741505414, 9.232259895486628, 9.69340878194218, 5.433950206399659]",7,4,False
diff_ev,rational,267338.5178397249,"[-0.12534711242473673, 2.238979024031452, 2.7555897165903582, 0.1473354415700152]","[-3.2201213892863185, 0.5798915793295407, 0.6870551926078559, 1.6090704176345874]",42,4,False
part_swarm,rational,192695.13224370088,"[-0.12534711242473673, 2.238979024031452, 2.7555897165903582, 0.1473354415700152]","[-2.1693585121181287, 2.17168829419498, -2.014163640613019, 1.014212950035291]",1000,4,False
nelder_mead,rational,1004.3451451125696,"[0, 1, -3, 2]","[0.00023733210994855692, 0.9993221679426562, -3.0001034673685707, 2.000245268192857]",110,5,True
lm,rational,1010.3880798445033,"[0, 1, -3, 2]","[0.0007475516441989011, 0.9990075510289683, -3.000000096251443, 2.0000006255617055]",2,5,True
diff_ev,rational,1002.1291971710723,"[0, 1, -3, 2]","[0.00807970605601817, 0.9875810680470644, -3.0000931593768465, 2.000230054233918]",86,5,True
part_swarm,rational,135121.12662540868,"[0, 1, -3, 2]","[-1.007809217322225, 0.4961436917723757, -1.492140268550296, 0.4922011981368301]",1000,5,True
