algo,main_n,n_edges,time
fw,55,110.0,0.5311201999999997
fw,55,165.0,0.5411139999999999
fw,55,220.0,0.5291336999999996
fw,50,100.0,0.40377809999999936
fw,50,150.0,0.39693229999999957
fw,50,200.0,0.39826100000000064
fw,45,90.0,0.2893042999999995
fw,45,135.0,0.29039000000000037
fw,45,180.0,0.28805510000000023
fw,40,80.0,0.2031894000000003
fw,40,120.0,0.2063322999999997
fw,40,160.0,0.20305769999999956
fw,35,70.0,0.13544909999999977
fw,35,105.0,0.13815080000000002
fw,35,140.0,0.1357336
fw,30,60.0,0.0846026000000002
fw,30,90.0,0.08615290000000009
fw,30,120.0,0.08706960000000041
fw,25,50.0,0.05957430000000041
fw,25,75.0,0.048996599999999724
fw,25,100.0,0.050118299999999394
fw,20,40.0,0.025451099999999727
fw,20,60.0,0.02631180000000022
fw,20,80.0,0.026555700000000293
fw,15,30.0,0.011115100000000488
fw,15,45.0,0.011099999999999888
fw,15,60.0,0.01082889999999992
fw,10,20.0,0.0033005999999993207
fw,10,30.0,0.0033111000000003443
fw,10,40.0,0.0032934999999998382
mc,100,,1.7893431
mc,95,,1.522912999999999
mc,90,,1.3076618
mc,85,,1.0928105000000006
mc,80,,0.9133103000000009
mc,75,,0.7518632000000007
mc,70,,0.6135543999999999
mc,65,,0.4943679999999979
mc,60,,0.3928024999999984
mc,55,,0.2993294000000013
mc,50,,0.22805370000000025
mc,45,,0.16573170000000204
mc,40,,0.11829140000000038
mc,35,,0.07975040000000178
mc,30,,0.050519300000001266
mc,25,,0.02948080000000175
mc,20,,0.015440000000001675
mc,15,,0.006686100000003137
mc,10,,0.0020985000000024456
mc,5,,0.0003108999999987816
